Test File,Test Case,Transaction Index,Total Instructions,Unique Instructions,Top 5 Instructions
worst_selfdestruct_existing.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_selfdestruct_existing[fork_Prague-benchmark-gas-value_1M-blockchain_test-value_bearing_False],0,41,20,"PUSH1(18), MSTORE(4), GAS(2), PUSH20(1), MSTORE8(1)"
worst_selfdestruct_existing.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_selfdestruct_existing[fork_Prague-benchmark-gas-value_1M-blockchain_test-value_bearing_True],0,22,14,"PUSH1(7), SUB(2), ISZERO(2), CALLDATALOAD(1), JUMPDEST(1)"
worst_selfdestruct_existing.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_selfdestruct_existing[fork_Prague-benchmark-gas-value_1M-blockchain_test-value_bearing_True],0,41,20,"PUSH1(18), MSTORE(4), GAS(2), PUSH20(1), MSTORE8(1)"
worst_selfdestruct_existing.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_selfdestruct_existing[fork_Prague-benchmark-gas-value_30M-blockchain_test-value_bearing_False],0,22,14,"PUSH1(7), SUB(2), ISZERO(2), CALLDATALOAD(1), JUMPDEST(1)"
worst_selfdestruct_existing.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_selfdestruct_existing[fork_Prague-benchmark-gas-value_30M-blockchain_test-value_bearing_False],0,41,20,"PUSH1(18), MSTORE(4), GAS(2), PUSH20(1), MSTORE8(1)"
worst_selfdestruct_existing.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_selfdestruct_existing[fork_Prague-benchmark-gas-value_30M-blockchain_test-value_bearing_True],0,22,14,"PUSH1(7), SUB(2), ISZERO(2), CALLDATALOAD(1), JUMPDEST(1)"
worst_selfdestruct_existing.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_selfdestruct_existing[fork_Prague-benchmark-gas-value_30M-blockchain_test-value_bearing_True],0,41,20,"PUSH1(18), MSTORE(4), GAS(2), PUSH20(1), MSTORE8(1)"
worst_selfdestruct_existing.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_selfdestruct_existing[fork_Prague-benchmark-gas-value_45M-blockchain_test-value_bearing_False],0,22,14,"PUSH1(7), SUB(2), ISZERO(2), CALLDATALOAD(1), JUMPDEST(1)"
worst_selfdestruct_existing.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_selfdestruct_existing[fork_Prague-benchmark-gas-value_45M-blockchain_test-value_bearing_False],0,41,20,"PUSH1(18), MSTORE(4), GAS(2), PUSH20(1), MSTORE8(1)"
worst_selfdestruct_existing.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_selfdestruct_existing[fork_Prague-benchmark-gas-value_45M-blockchain_test-value_bearing_True],0,22,14,"PUSH1(7), SUB(2), ISZERO(2), CALLDATALOAD(1), JUMPDEST(1)"
worst_selfdestruct_existing.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_selfdestruct_existing[fork_Prague-benchmark-gas-value_45M-blockchain_test-value_bearing_True],0,41,20,"PUSH1(18), MSTORE(4), GAS(2), PUSH20(1), MSTORE8(1)"
worst_selfdestruct_existing.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_selfdestruct_existing[fork_Prague-benchmark-gas-value_60M-blockchain_test-value_bearing_False],0,22,14,"PUSH1(7), SUB(2), ISZERO(2), CALLDATALOAD(1), JUMPDEST(1)"
worst_selfdestruct_existing.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_selfdestruct_existing[fork_Prague-benchmark-gas-value_60M-blockchain_test-value_bearing_False],0,41,20,"PUSH1(18), MSTORE(4), GAS(2), PUSH20(1), MSTORE8(1)"
worst_selfdestruct_existing.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_selfdestruct_existing[fork_Prague-benchmark-gas-value_60M-blockchain_test-value_bearing_True],0,22,14,"PUSH1(7), SUB(2), ISZERO(2), CALLDATALOAD(1), JUMPDEST(1)"
worst_selfdestruct_existing.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_selfdestruct_existing[fork_Prague-benchmark-gas-value_60M-blockchain_test-value_bearing_True],0,41,20,"PUSH1(18), MSTORE(4), GAS(2), PUSH20(1), MSTORE8(1)"
worst_address_state_cold.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_address_state_cold[fork_Prague-benchmark-gas-value_100M-blockchain_test-absent_accounts_False-opcode_BALANCE],0,24,16,"PUSH1(6), PUSH4(2), SUB(2), ISZERO(2), JUMPDEST(1)"
worst_address_state_cold.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_address_state_cold[fork_Prague-benchmark-gas-value_100M-blockchain_test-absent_accounts_False-opcode_BALANCE],0,17,13,"PUSH4(2), DUP1(2), SUB(2), ISZERO(2), JUMPDEST(1)"
worst_address_state_cold.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_address_state_cold[fork_Prague-benchmark-gas-value_100M-blockchain_test-absent_accounts_True-opcode_BALANCE],0,17,13,"PUSH4(2), DUP1(2), SUB(2), ISZERO(2), JUMPDEST(1)"
worst_address_state_cold.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_address_state_cold[fork_Prague-benchmark-gas-value_10M-blockchain_test-absent_accounts_False-opcode_BALANCE],0,24,16,"PUSH1(6), PUSH4(2), SUB(2), ISZERO(2), JUMPDEST(1)"
worst_address_state_cold.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_address_state_cold[fork_Prague-benchmark-gas-value_10M-blockchain_test-absent_accounts_False-opcode_BALANCE],0,17,13,"PUSH4(2), DUP1(2), SUB(2), ISZERO(2), JUMPDEST(1)"
worst_address_state_cold.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_address_state_cold[fork_Prague-benchmark-gas-value_10M-blockchain_test-absent_accounts_True-opcode_BALANCE],0,17,13,"PUSH4(2), DUP1(2), SUB(2), ISZERO(2), JUMPDEST(1)"
worst_address_state_cold.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_address_state_cold[fork_Prague-benchmark-gas-value_150M-blockchain_test-absent_accounts_False-opcode_BALANCE],0,24,16,"PUSH1(6), PUSH4(2), SUB(2), ISZERO(2), JUMPDEST(1)"
worst_address_state_cold.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_address_state_cold[fork_Prague-benchmark-gas-value_150M-blockchain_test-absent_accounts_False-opcode_BALANCE],0,17,13,"PUSH4(2), DUP1(2), SUB(2), ISZERO(2), JUMPDEST(1)"
worst_address_state_cold.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_address_state_cold[fork_Prague-benchmark-gas-value_150M-blockchain_test-absent_accounts_True-opcode_BALANCE],0,17,13,"PUSH4(2), DUP1(2), SUB(2), ISZERO(2), JUMPDEST(1)"
worst_address_state_cold.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_address_state_cold[fork_Prague-benchmark-gas-value_1M-blockchain_test-absent_accounts_False-opcode_BALANCE],0,24,16,"PUSH1(6), PUSH4(2), SUB(2), ISZERO(2), JUMPDEST(1)"
worst_address_state_cold.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_address_state_cold[fork_Prague-benchmark-gas-value_1M-blockchain_test-absent_accounts_False-opcode_BALANCE],0,17,13,"PUSH4(2), DUP1(2), SUB(2), ISZERO(2), JUMPDEST(1)"
worst_address_state_cold.json,tests/benchmark/test_worst_stateful_opcodes.py::test_worst_address_state_cold[fork_Prague-benchmark-gas-value_1M-blockchain_test-absent_accounts_True-opcode_BALANCE],0,17,13,"PUSH4(2), DUP1(2), SUB(2), ISZERO(2), JUMPDEST(1)"
